Id	Desc	Name	Icon	ModelId	FakeObjId	FellowType	BabyFellowId	EvolveLevel	ClassId	ElementAttr	BuyUseMoney	CallLevel	AttackType	FirstSkillId	BaseAttackDown_White	BaseAttackUp_White	BaseAttackDown_Green	BaseAttackUp_Green	BaseAttackDown_Blue	BaseAttackUp_Blue	BaseAttackDown_Purple	BaseAttackUp_Purple	BaseAttackDown_Orange	BaseAttackUp_Orange	BaseHitDown_White	BaseHitUp_White	BaseHitDown_Green	BaseHitUp_Green	BaseHitDown_Blue	BaseHitUp_Blue	BaseHitDown_Purple	BaseHitUp_Purple	BaseHitDown_Orange	BaseHitUp_Orange	BaseCriticalDown_White	BaseCriticalUp_White	BaseCriticalDown_Green	BaseCriticalUp_Green	BaseCriticalDown_Blue	BaseCriticalUp_Blue	BaseCriticalDown_Purple	BaseCriticalUp_Purple	BaseCriticalDown_Orange	BaseCriticalUp_Orange	BaseGuardDown_White	BaseGuardUp_White	BaseGuardDown_Green	BaseGuardUp_Green	BaseGuardDown_Blue	BaseGuardUp_Blue	BaseGuardDown_Purple	BaseGuardUp_Purple	BaseGuardDown_Orange	BaseGuardUp_Orange	BaseBlessDown_White	BaseBlessUp_White	BaseBlessDown_Green	BaseBlessUp_Green	BaseBlessDown_Blue	BaseBlessUp_Blue	BaseBlessDown_Purple	BaseBlessUp_Purple	BaseBlessDown_Orange	BaseBlessUp_Orange	LevelAddAttack	LevelAddHit	LevelAddCritical	LevelAddGuard	LevelAddBless	AttachAttackOffset	AttachHitOffset	AttachCriticalOffset	AttachGuardOffset	AttachBlessOffset	AttachAttackRatio	AttachHitRatio	AttachCriticalRatio	AttachGuardRatio	AttachBlessRatio	StarExp_White	StarExp_Green	StarExp_Blue	StarExp_Purple	StarExp_Orange	TallentSkillCount	TallentSkill1	TallentSkill2	TallentSkill3	TallentSkill4	TallentSkill5	Valible
147	宠物德比鲁_成年	成年德比鲁	petdebilu	494	97	1	146	0	4	4	0	1	2	50000	109	147	211	286	429	580	-1	-1	-1	-1	12	17	24	33	49	66	-1	-1	-1	-1	8	11	16	22	33	45	-1	-1	-1	-1	17	23	33	44	66	90	-1	-1	-1	-1	17	23	33	44	66	90	-1	-1	-1	-1	37	4	3	6	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	1
148	宠物德比鲁_1变	变异德比鲁	petdebilu	495	98	2	146	1	4	4	0	1	2	50000	104	141	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	16	22	-1	-1	-1	-1	-1	-1	-1	-1	16	22	-1	-1	-1	-1	-1	-1	-1	-1	36	4	3	6	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	0
149	宠物德比鲁_2变	变异德比鲁	petdebilu	495	98	2	146	2	4	4	0	1	2	50000	131	177	-1	-1	-1	-1	-1	-1	-1	-1	15	20	-1	-1	-1	-1	-1	-1	-1	-1	10	14	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	45	5	3	7	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	0
150	宠物德比鲁_3变	变异德比鲁	petdebilu	495	98	2	146	3	4	4	0	1	2	50000	-1	-1	176	238	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	14	18	-1	-1	-1	-1	-1	-1	-1	-1	27	37	-1	-1	-1	-1	-1	-1	-1	-1	27	37	-1	-1	-1	-1	-1	-1	61	7	5	9	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	0
151	宠物德比鲁_4变	变异德比鲁	petdebilu	495	98	2	146	4	4	4	0	1	2	50000	-1	-1	247	334	-1	-1	-1	-1	-1	-1	-1	-1	28	38	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	38	52	-1	-1	-1	-1	-1	-1	-1	-1	38	52	-1	-1	-1	-1	-1	-1	85	10	7	13	13	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	0
152	宠物德比鲁_5变	变异德比鲁	petdebilu	495	98	2	146	5	4	4	0	1	2	50000	-1	-1	-1	-1	353	478	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	-1	-1	27	37	-1	-1	-1	-1	-1	-1	-1	-1	55	74	-1	-1	-1	-1	-1	-1	-1	-1	55	74	-1	-1	-1	-1	122	14	9	19	19	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	0
153	宠物德比鲁_6变	变异德比鲁	petdebilu	495	98	2	146	6	4	4	0	1	2	50000	-1	-1	-1	-1	504	682	-1	-1	-1	-1	-1	-1	-1	-1	57	78	-1	-1	-1	-1	-1	-1	-1	-1	39	53	-1	-1	-1	-1	-1	-1	-1	-1	78	106	-1	-1	-1	-1	-1	-1	-1	-1	78	106	-1	-1	-1	-1	174	20	13	27	27	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	0
154	宠物德比鲁_7变	高级变异德比鲁	petdebilu	495	98	2	146	7	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	708	958	-1	-1	-1	-1	-1	-1	-1	-1	81	109	-1	-1	-1	-1	-1	-1	-1	-1	55	74	-1	-1	-1	-1	-1	-1	-1	-1	110	148	-1	-1	-1	-1	-1	-1	-1	-1	110	148	-1	-1	244	28	19	38	38	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	53201	0	0	0	0
155	宠物德比鲁_8变	高级变异德比鲁	petdebilu	495	98	2	146	8	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	975	1319	-1	-1	-1	-1	-1	-1	-1	-1	111	150	-1	-1	-1	-1	-1	-1	-1	-1	75	102	-1	-1	-1	-1	-1	-1	-1	-1	151	204	-1	-1	-1	-1	-1	-1	-1	-1	151	204	-1	-1	336	38	26	52	52	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	53201	0	0	0	0
156	宠物德比鲁_9变	高级变异德比鲁	petdebilu	495	98	2	146	9	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1312	1775	-1	-1	-1	-1	-1	-1	-1	-1	149	202	-1	-1	-1	-1	-1	-1	-1	-1	102	137	-1	-1	-1	-1	-1	-1	-1	-1	203	275	-1	-1	-1	-1	-1	-1	-1	-1	203	275	452	51	35	70	70	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	53201	0	0	0	0
157	宠物德比鲁_10变	高级变异德比鲁	petdebilu	495	98	2	146	10	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1729	2339	-1	-1	-1	-1	-1	-1	-1	-1	197	266	-1	-1	-1	-1	-1	-1	-1	-1	134	181	-1	-1	-1	-1	-1	-1	-1	-1	268	362	-1	-1	-1	-1	-1	-1	-1	-1	268	362	596	68	46	92	92	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	53201	0	0	0	0
158	宠物羊驼_宝宝	羊驼宝宝	petyangtuo	496	99	0	158	0	1	1	0	1	2	50000	65	88	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	6	7	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	22	3	2	5	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
159	宠物羊驼_成年	成年羊驼	petyangtuo	496	99	1	158	0	1	1	0	1	2	50000	82	110	158	214	322	435	-1	-1	-1	-1	12	17	24	33	49	66	-1	-1	-1	-1	7	9	13	18	27	37	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	25	33	48	65	98	132	-1	-1	-1	-1	28	4	2	6	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
160	宠物毒蝎_宝宝	毒蝎宝宝	Pet	500	102	0	160	0	3	3	0	1	1	50000	58	78	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	20	3	2	5	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
161	宠物毒蝎_成年	成年毒蝎	Pet	500	102	1	160	0	3	3	0	1	1	50000	73	98	141	190	286	387	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	20	27	38	52	78	106	-1	-1	-1	-1	24	32	46	62	94	127	-1	-1	-1	-1	25	4	3	7	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
162	宠物毒蝎_1变	变异毒蝎	Pet	501	103	2	160	1	3	3	0	1	1	50000	70	94	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	23	31	-1	-1	-1	-1	-1	-1	-1	-1	24	4	3	7	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
163	宠物毒蝎_2变	变异毒蝎	Pet	501	103	2	160	2	3	3	0	1	1	50000	87	118	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	30	5	3	8	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
164	宠物毒蝎_3变	变异毒蝎	Pet	501	103	2	160	3	3	3	0	1	1	50000	-1	-1	117	158	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	38	52	-1	-1	-1	-1	-1	-1	40	7	4	11	13	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
165	宠物毒蝎_4变	变异毒蝎	Pet	501	103	2	160	4	3	3	0	1	1	50000	-1	-1	164	223	-1	-1	-1	-1	-1	-1	-1	-1	27	36	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	54	73	-1	-1	-1	-1	-1	-1	57	9	6	15	19	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
166	宠物毒蝎_5变	变异毒蝎	Pet	501	103	2	160	5	3	3	0	1	1	50000	-1	-1	-1	-1	236	319	-1	-1	-1	-1	-1	-1	-1	-1	39	52	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	77	104	-1	-1	-1	-1	81	13	9	22	27	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
167	宠物毒蝎_6变	变异毒蝎	Pet	501	103	2	160	6	3	3	0	1	1	50000	-1	-1	-1	-1	336	455	-1	-1	-1	-1	-1	-1	-1	-1	55	75	-1	-1	-1	-1	-1	-1	-1	-1	37	50	-1	-1	-1	-1	-1	-1	-1	-1	92	124	-1	-1	-1	-1	-1	-1	-1	-1	110	149	-1	-1	-1	-1	116	19	13	32	38	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
168	宠物毒蝎_7变	高级变异毒蝎	Pet	501	103	2	160	7	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	472	639	-1	-1	-1	-1	-1	-1	-1	-1	77	105	-1	-1	-1	-1	-1	-1	-1	-1	52	70	-1	-1	-1	-1	-1	-1	-1	-1	129	175	-1	-1	-1	-1	-1	-1	-1	-1	155	209	-1	-1	163	27	18	44	53	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
169	宠物毒蝎_8变	高级变异毒蝎	Pet	501	103	2	160	8	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	650	879	-1	-1	-1	-1	-1	-1	-1	-1	106	144	-1	-1	-1	-1	-1	-1	-1	-1	71	96	-1	-1	-1	-1	-1	-1	-1	-1	177	240	-1	-1	-1	-1	-1	-1	-1	-1	213	288	-1	-1	224	37	24	61	73	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
170	宠物毒蝎_9变	高级变异毒蝎	Pet	501	103	2	160	9	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	874	1183	-1	-1	-1	-1	-1	-1	-1	-1	143	194	-1	-1	-1	-1	-1	-1	-1	-1	96	129	-1	-1	-1	-1	-1	-1	-1	-1	239	323	-1	-1	-1	-1	-1	-1	-1	-1	287	388	301	49	33	82	99	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
171	宠物毒蝎_10变	高级变异毒蝎	Pet	501	103	2	160	10	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1152	1559	-1	-1	-1	-1	-1	-1	-1	-1	189	256	-1	-1	-1	-1	-1	-1	-1	-1	126	170	-1	-1	-1	-1	-1	-1	-1	-1	315	426	-1	-1	-1	-1	-1	-1	-1	-1	378	511	397	65	43	108	130	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
172	宠物顶角兽_宝宝	顶角兽宝宝	pet_dingjiaobao	502	104	0	172	0	2	2	0	1	1	50000	94	127	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	32	2	3	5	4	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	1
173	宠物顶角兽_成年	成年顶角兽	pet_dingjiaobao	502	104	1	172	0	2	2	0	1	1	50000	118	159	229	310	464	628	-1	-1	-1	-1	9	12	17	23	35	48	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	14	19	27	36	55	74	-1	-1	-1	-1	41	3	4	6	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	1
174	宠物顶角兽_1变	变异顶角兽	pet_dingjiaobao	503	105	2	172	1	2	2	0	1	1	50000	113	153	-1	-1	-1	-1	-1	-1	-1	-1	9	12	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	13	18	-1	-1	-1	-1	-1	-1	-1	-1	39	3	4	6	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
175	宠物顶角兽_2变	变异顶角兽	pet_dingjiaobao	503	105	2	172	2	2	2	0	1	1	50000	142	192	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	49	4	5	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
176	宠物顶角兽_3变	变异顶角兽	pet_dingjiaobao	503	105	2	172	3	2	2	0	1	1	50000	-1	-1	190	257	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	22	30	-1	-1	-1	-1	-1	-1	66	5	7	10	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
177	宠物顶角兽_4变	变异顶角兽	pet_dingjiaobao	503	105	2	172	4	2	2	0	1	1	50000	-1	-1	267	362	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	27	36	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	-1	-1	31	43	-1	-1	-1	-1	-1	-1	92	7	9	14	11	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
178	宠物顶角兽_5变	变异顶角兽	pet_dingjiaobao	503	105	2	172	5	2	2	0	1	1	50000	-1	-1	-1	-1	383	518	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	39	52	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	132	10	13	20	16	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
179	宠物顶角兽_6变	变异顶角兽	pet_dingjiaobao	503	105	2	172	6	2	2	0	1	1	50000	-1	-1	-1	-1	546	739	-1	-1	-1	-1	-1	-1	-1	-1	41	56	-1	-1	-1	-1	-1	-1	-1	-1	55	75	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	188	14	19	28	22	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
180	宠物顶角兽_7变	高级变异顶角兽	pet_dingjiaobao	503	105	2	172	7	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	767	1038	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	-1	-1	77	105	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	-1	-1	-1	-1	-1	-1	90	122	-1	-1	264	20	27	40	31	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
181	宠物顶角兽_8变	高级变异顶角兽	pet_dingjiaobao	503	105	2	172	8	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	1056	1428	-1	-1	-1	-1	-1	-1	-1	-1	80	108	-1	-1	-1	-1	-1	-1	-1	-1	106	144	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	-1	-1	-1	-1	-1	-1	124	168	-1	-1	364	28	37	55	43	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
182	宠物顶角兽_9变	高级变异顶角兽	pet_dingjiaobao	503	105	2	172	9	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1421	1923	-1	-1	-1	-1	-1	-1	-1	-1	107	145	-1	-1	-1	-1	-1	-1	-1	-1	143	194	-1	-1	-1	-1	-1	-1	-1	-1	215	291	-1	-1	-1	-1	-1	-1	-1	-1	167	226	490	37	49	74	58	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
183	宠物顶角兽_10变	高级变异顶角兽	pet_dingjiaobao	503	105	2	172	10	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1873	2534	-1	-1	-1	-1	-1	-1	-1	-1	142	192	-1	-1	-1	-1	-1	-1	-1	-1	189	256	-1	-1	-1	-1	-1	-1	-1	-1	283	383	-1	-1	-1	-1	-1	-1	-1	-1	220	298	645	49	65	98	76	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
184	宠物修理工_宝宝	修理工宝宝	Pet	504	106	0	184	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
185	宠物修理工_完全体	成年修理工	Pet	504	106	1	184	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
186	宠物修理工_1变	变异修理工	Pet	505	107	2	184	1	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
187	宠物修理工_2变	变异修理工	Pet	505	107	2	184	2	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
188	宠物修理工_3变	变异修理工	Pet	505	107	2	184	3	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
189	宠物修理工_4变	变异修理工	Pet	505	107	2	184	4	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
190	宠物修理工_5变	变异修理工	Pet	505	107	2	184	5	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
191	宠物修理工_6变	变异修理工	Pet	505	107	2	184	6	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
192	宠物修理工_7变	变异修理工	Pet	505	107	2	184	7	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
193	宠物修理工_8变	变异修理工	Pet	505	107	2	184	8	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
194	宠物修理工_9变	变异修理工	Pet	505	107	2	184	9	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
195	宠物修理工_10变	变异修理工	Pet	505	107	2	184	10	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
196	宠物机械战士_宝宝	机械战士宝宝	Pet	506	108	0	196	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
197	宠物机械战士_完全体	完全体机械战士	Pet	506	108	1	196	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
198	宠物机械战士_1变	变异机械战士	Pet	507	109	2	196	1	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
